location,htncov2,htncov2_aspirational,htncov2_ambitious,htncov2_progress,htn_ctrl_diabetes,control_rate_program,control_rate_bau_upper,control_rate_bau_conservative
Afghanistan,0.124882019,0.5,0.175776535,0.154502627,0.274882019,,,
Albania,0.068413228,0.5,0.119307743,0.098033836,0.218413228,,,
Algeria,0.138004827,0.5,0.188899342,0.167625435,0.288004827,,,
American Samoa,0.097576806,0.5,0.148471322,0.127197414,0.247576806,,,
Andorra,0.30800619,0.5,0.358900705,0.337626798,0.45800619,,,
Angola,0.107290556,0.5,0.158185071,0.136911164,0.257290556,,,
Antigua and Barbuda,0.203364073,0.5,0.254258589,0.232984681,0.353364073,,,
Argentina,0.123638651,0.5,0.174533166,0.153259259,0.273638651,0.322104144,0,0.123638651
Armenia,0.080842912,0.5,0.131737427,0.11046352,0.230842912,,,
Australia,0.251525927,0.5,0.302420442,0.281146535,0.401525927,,,
Austria,0.274252321,0.5,0.325146836,0.303872929,0.424252321,,,
Azerbaijan,0.113812978,0.5,0.164707493,0.143433585,0.263812978,,,
Bahamas,0.188547871,0.5,0.239442386,0.218168479,0.338547871,,,
Bahrain,0.175209334,0.5,0.226103849,0.204829942,0.325209334,,,
Bangladesh,0.143925811,0.5,0.194820326,0.173546419,0.293925811,0.38969151,0,0.143925811
Barbados,0.311016143,0.5,0.361910658,0.340636751,0.461016143,,,
Belarus,0.081051727,0.5,0.131946242,0.110672335,0.231051727,,,
Belgium,0.3551668,0.5,0.406061315,0.384787408,0.5051668,,,
Belize,0.185892088,0.5,0.236786603,0.215512696,0.335892088,,,
Benin,0.088258285,0.5,0.1391528,0.117878893,0.238258285,,,
Bermuda,0.193419371,0.5,0.244313886,0.223039979,0.343419371,0,0,0
Bhutan,0.080184822,0.5,0.131079338,0.10980543,0.230184822,,,
Bolivia,0.221999847,0.5,0.272894363,0.251620455,0.371999847,0.627572428,0,0.221999847
Bosnia and Herzegovina,0.145218314,0.5,0.196112829,0.174838922,0.295218314,,,
Botswana,0.164910487,0.5,0.215805002,0.194531095,0.314910487,,,
Brazil,0.304025684,0.5,0.3549202,0.333646292,0.454025684,,,
Brunei Darussalam,0.269832795,0.5,0.32072731,0.299453403,0.419832795,,,
Bulgaria,0.204721548,0.5,0.255616063,0.234342156,0.354721548,,,
Burkina Faso,0.079748164,0.5,0.130642679,0.109368772,0.229748164,,,
Burundi,0.108643293,0.5,0.159537809,0.138263901,0.258643293,,,
Cabo Verde,0.118346872,0.5,0.169241387,0.14796748,0.268346872,,,
Cambodia,0.197149297,0.5,0.248043812,0.226769905,0.347149297,,,
Cameroon,0.062560604,0.5,0.113455119,0.092181212,0.212560604,,,
Canada,0.631146711,0.631146711,0.682041226,0.660767319,0.781146711,,,
Central African Republic,0.054190973,0.5,0.105085488,0.08381158,0.204190973,,,
Chad,0.105467235,0.5,0.15636175,0.135087843,0.255467235,,,
Chile,0.289433738,0.5,0.340328253,0.319054346,0.439433738,0.412396577,0,0.289433738
China,0.146201184,0.5,0.197095699,0.175821792,0.296201184,0.02851875,0,0.02851875
Colombia,0.272563956,0.5,0.323458472,0.302184564,0.422563956,0,0,0
Comoros,0.106012015,0.5,0.15690653,0.135632623,0.256012015,,,
Congo,0.086530623,0.5,0.137425138,0.116151231,0.236530623,,,
Costa Rica,0.470465007,0.5,0.521359522,0.500085614,0.620465007,,,
Croatia,0.167597094,0.5,0.218491609,0.197217702,0.317597094,,,
Cuba,0.298326878,0.5,0.349221393,0.327947486,0.448326878,0.291163754,0,0.291163754
Cyprus,0.311479547,0.5,0.362374062,0.341100155,0.461479547,,,
Czechia,0.326394155,0.5,0.377288671,0.356014763,0.476394155,,,
Democratic People's Republic of Korea,0.214494657,0.5,0.265389172,0.244115265,0.364494657,,,
Democratic Republic of the Congo,0.112062914,0.5,0.162957429,0.141683522,0.262062914,,,
