location,year,start_year,enrolled,bp_controlled,control_rate,control_rate_observed,enrolled_growth_rate,control_rate_change,median_enrolled_growth,median_ctrl_change,enrolled_imputed,control_rate_imputed,bp_controlled_imputed
Anguilla,2017,2023,,,,0,,,0.871501257932485,0.495959595959596,,,
Anguilla,2018,2023,,,,0,,,0.871501257932485,0.495959595959596,,,
Anguilla,2019,2023,,,,0,,,0.871501257932485,0.495959595959596,,,
Anguilla,2020,2023,,,,0,,,0.871501257932485,0.495959595959596,,,
Anguilla,2021,2023,,,,0,,,0.871501257932485,0.495959595959596,,,
Anguilla,2022,2023,,,,0,,,0.871501257932485,0.495959595959596,,,
Anguilla,2023,2023,495,4,0.00808080808080808,1,,,0.871501257932485,0.495959595959596,495,0.00808080808080808,4
Anguilla,2024,2023,538,535,0.994423791821561,1,0.0868686868686868,0.986342983740753,0.871501257932485,0.495959595959596,538,0.994423791821561,535
Anguilla,2025,2023,1429,1429,1,0,1.65613382899628,0.00557620817843862,0.871501257932485,0.495959595959596,1429,1,1429
Antigua Barbuda,2017,,,,,0,,,,,,,
Antigua Barbuda,2018,,,,,0,,,,,,,
Antigua Barbuda,2019,,,,,0,,,,,,,
Antigua Barbuda,2020,,,,,0,,,,,,,
Antigua Barbuda,2021,,,,,0,,,,,,,
Antigua Barbuda,2022,,,,,0,,,,,,,
Antigua Barbuda,2023,,,,,0,,,,,,,
Antigua Barbuda,2024,,,,,0,,,,,,,
Antigua Barbuda,2025,,,,,0,,,,,,,
Argentina,2017,2018,,,,0,,,0,0.00481970724741165,,,
Argentina,2018,2018,,,,0,,,0,0.00481970724741165,,,
Argentina,2019,2018,,,,0,,,0,0.00481970724741165,,,
Argentina,2020,2018,5602,1836,0.327740092823991,1,,,0,0.00481970724741165,5602,0.327740092823991,1836
Argentina,2021,2018,5602,1863,0.332559800071403,1,0,0.00481970724741165,0,0.00481970724741165,5602,0.332559800071403,1863
Argentina,2022,2018,5602,293,0.0523027490182078,1,0,-0.280257051053195,0,0.00481970724741165,5602,0.0523027490182078,293
Argentina,2023,2018,28352,8859,0.312464729119639,1,4.06104962513388,0.260161980101431,0,0.00481970724741165,28352,0.312464729119639,8859
Argentina,2024,2018,41960,,,0,0.479966139954853,,0,0.00481970724741165,41960,0.317284436367051,13313.2549499614
Argentina,2025,2018,41960,,,0,0,,0,0.00481970724741165,41960,0.322104143614462,13515.4898660628
Bahamas,2017,,,,,0,,,,,,,
Bahamas,2018,,,,,0,,,,,,,
Bahamas,2019,,,,,0,,,,,,,
Bahamas,2020,,,,,0,,,,,,,
Bahamas,2021,,,,,0,,,,,,,
Bahamas,2022,,,,,0,,,,,,,
Bahamas,2023,,,,,0,,,,,,,
Bahamas,2024,,,,,0,,,,,,,
Bahamas,2025,,,,,0,,,,,,,
Bangladesh,2017,2019,,,,0,,,0.81769541954848,-0.0211511473607973,,,
Bangladesh,2018,2019,,,,0,,,0.81769541954848,-0.0211511473607973,,,
